Category,SSIM_LSB,NC_JPEG_LSB,NC_Resize_LSB,SSIM_DFT,NC_JPEG_DFT,NC_Resize_DFT,SSIM_Hybrid,NC_JPEG_Hybrid,NC_Resize_Hybrid
Faces,0.9999999273755633,0.515625,0.453125,0.9980987721033334,0.78125,0.0,0.9980986967817002,0.78125,0.46875
Faces_easy,0.9999999731484658,0.421875,0.46875,0.9979037476590751,0.8125,0.625,0.9979037104112292,0.8125,0.609375
Leopards,0.999999697878605,0.59375,0.5625,0.9977808930593716,0.703125,0.5,0.9977807455652661,0.703125,0.5625
Motorbikes,0.9999996440610135,0.0,0.5625,0.9971999068789984,0.671875,0.5625,0.9971998976924015,0.671875,0.59375
accordion,0.9999994101227608,0.0,0.0,0.9985639835445089,0.828125,0.0,0.9985633936672699,0.828125,0.0
airplanes,0.999999637167348,0.0,0.515625,0.997523321776857,0.734375,0.609375,0.9975230853791002,0.734375,0.609375
anchor,0.9999994101227608,0.0,0.0,0.997557983002503,0.703125,0.484375,0.997557393125264,0.703125,0.484375
ant,0.9999997873575407,0.546875,0.53125,0.9972793456992404,0.734375,0.640625,0.9972790755350567,0.734375,0.640625
barrel,0.9999996450730848,0.0,0.5625,0.9972144371055445,0.671875,0.578125,0.9972144518919029,0.671875,0.59375
bass,0.9999996118287066,0.4375,0.65625,0.9971878795329091,0.703125,0.6875,0.9971871738982071,0.703125,0.703125
beaver,0.9999996997279248,0.0,0.484375,0.9970224434330641,0.78125,0.0,0.9970223182737254,0.78125,0.390625
binocular,0.999999690123014,0.4375,0.546875,0.9979451031522141,0.71875,0.5,0.9979446598031971,0.71875,0.5625
bonsai,0.9999996957396909,0.53125,0.578125,0.997163812771109,0.671875,0.0,0.9971634678823053,0.671875,0.5
brain,0.9999994101227608,0.0,0.0,0.99771773953136,0.6875,0.625,0.9977171496541208,0.6875,0.625
brontosaurus,0.9999997301598186,0.421875,0.453125,0.9988057429006851,0.71875,0.5625,0.9988055659129581,0.71875,0.5625
buddha,0.9999996773272894,0.0,0.59375,0.998535538753839,0.671875,0.59375,0.9985354200395774,0.671875,0.59375
